fileid,audiopath,prev,next,time,emotion,transcription
Ses01F_script02_1_M014,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav,Ses01F_script02_1_F008,Ses01F_script02_1_M015,77.1900 - 87.6779,neu,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket."
Ses01F_script02_1_M015,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav,Ses01F_script02_1_M014,Ses01F_script02_1_M016,87.8250 - 94.5265,neu,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?"
Ses01F_script02_1_M016,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M016.wav,Ses01F_script02_1_M015,Ses01F_script02_1_F009,94.6400 - 100.4000,exc,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up."
Ses01F_script02_1_M017,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M017.wav,Ses01F_script02_1_F009,Ses01F_script02_1_F010,104.2500 - 111.2300,xxx,I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.
Ses01F_script02_1_M018,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M018.wav,Ses01F_script02_1_F010,Ses01F_script02_1_F011,112.1900 - 114.3500,fru,Do you want my jacket?
Ses01F_script02_1_M019,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M019.wav,Ses01F_script02_1_F011,Ses01F_script02_1_F012,115.8753 - 121.9194,xxx,What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?
Ses01F_script02_1_M020,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav,Ses01F_script02_1_F012,Ses01F_script02_1_F013,122.7000 - 124.5900,neu,Right.
Ses01F_script02_1_M021,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav,Ses01F_script02_1_F013,Ses01F_script02_1_F014,125.7500 - 127.9600,neu,"Wait, that's my point, too."
Ses01F_script02_1_M022,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M022.wav,Ses01F_script02_1_F014,Ses01F_script02_1_F015,128.8000 - 137.7400,fru,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?"
Ses01F_script02_1_M023,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.wav,Ses01F_script02_1_F015,Ses01F_script02_1_F016,139.1100 - 141.0400,neu,Why not?
Ses01F_script02_1_M024,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.wav,Ses01F_script02_1_F016,Ses01F_script02_1_F017,142.7800 - 155.6400,neu,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up."
Ses01F_script02_1_M025,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.wav,Ses01F_script02_1_F017,Ses01F_script02_1_M026,163.1900 - 176.2823,neu,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
Ses01F_script02_1_M026,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.wav,Ses01F_script02_1_M025,Ses01F_script02_1_F018,176.3975 - 181.5500,neu,This is a big night for these little guys.  It's like life's last orgy.
Ses01F_script02_1_M027,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M027.wav,Ses01F_script02_1_F018,Ses01F_script02_1_F019,188.8800 - 190.4700,fru,Yeah they do.
Ses01F_script02_1_M028,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M028.wav,Ses01F_script02_1_F019,Ses01F_script02_1_M029,191.1300 - 201.9700,xxx,"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs."
Ses01F_script02_1_M029,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav,Ses01F_script02_1_M028,Ses01F_script02_1_F020,202.0250 - 209.4025,neu,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested."
Ses01F_script02_1_M030,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M030.wav,Ses01F_script02_1_F020,Ses01F_script02_1_F021,209.6300 - 211.1150,sur,For real?
Ses01F_script02_1_M031,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.wav,Ses01F_script02_1_F021,Ses01F_script02_1_M032,211.5500 - 218.5600,neu,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?"
Ses01F_script02_1_M032,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.wav,Ses01F_script02_1_M031,Ses01F_script02_1_F022,218.6125 - 225.2700,neu,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car."
Ses01F_script02_1_M033,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.wav,Ses01F_script02_1_F022,Ses01F_script02_1_F023,236.5000 - 238.7700,neu,Ahh...we weren't in a good spot.
Ses01F_script02_1_M034,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.wav,Ses01F_script02_1_F023,Ses01F_script02_1_M035,240.1700 - 245.7100,neu,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things."
Ses01F_script02_1_M035,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M035.wav,Ses01F_script02_1_M034,Ses01F_script02_1_M036,245.7900 - 253.1140,exc,"Look there, see?  What's that?  No, that's - that's just seaweed."
Ses01F_script02_1_M036,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.wav,Ses01F_script02_1_M035,Ses01F_script02_1_M037,253.1700 - 261.4425,hap,"God, this is great.  Think about this.  I know you are not interested, but just think about this."
Ses01F_script02_1_M037,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M037.wav,Ses01F_script02_1_M036,Ses01F_script02_1_M038,261.5675 - 276.6283,xxx,"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map."
Ses01F_script02_1_M038,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M038.wav,Ses01F_script02_1_M037,Ses01F_script02_1_M039,276.7775 - 291.4000,exc,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming."
Ses01F_script02_1_M039,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M039.wav,Ses01F_script02_1_M038,Ses01F_script02_1_M040,291.4700 - 298.1386,xxx,They are swimming right now.  They are swimming as if that is the only thing that matters to them.
Ses01F_script02_1_M040,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M040.wav,Ses01F_script02_1_M039,Ses01F_script02_1_M041,298.2452 - 305.6600,exc,It's single mindedness with no mind.  It is urgency that is just pure urge.
Ses01F_script02_1_M041,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M041.wav,Ses01F_script02_1_M040,Ses01F_script02_1_M042,305.9850 - 316.0900,xxx,And they are swimming right now to this very point where we stand for this huge celebration of sex and death.
Ses01F_script02_1_M042,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M042.wav,Ses01F_script02_1_M041,Ses01F_script02_1_F024,316.1527 - 321.7375,xxx,"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm."
Ses01F_script02_1_M043,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.wav,Ses01F_script02_1_F024,Ses01F_script02_1_F025,324.1500 - 327.0891,hap,So what do you think?
Ses01F_script02_1_M044,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.wav,Ses01F_script02_1_F025,,328.2400 - 331.9283,hap,"About all of that, about all I was talking about."
Ses01F_impro04_F000,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,Ses01F_impro04_M000,Ses01F_impro04_M001,7.2455 - 11.6400,neu,"Uh, what?  Craig's List?  Oh the internet thing?"
Ses01F_impro04_F001,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,Ses01F_impro04_M001,Ses01F_impro04_M002,11.7448 - 16.1500,neu,I don't know.  Isn't that-- that's all like escort services and things like that.
Ses01F_impro04_F002,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F002.wav,Ses01F_impro04_M002,Ses01F_impro04_M003,18.6000 - 30.8976,fru,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board."
Ses01F_impro04_F003,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F003.wav,Ses01F_impro04_M004,Ses01F_impro04_M005,35.0090 - 37.8000,xxx,What kind of a job?
Ses01F_impro04_F004,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F004.wav,Ses01F_impro04_M005,Ses01F_impro04_M006,40.2300 - 41.9500,xxx,Really?
Ses01F_impro04_F005,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,Ses01F_impro04_M006,Ses01F_impro04_F006,43.3500 - 45.7596,neu,He just...
Ses01F_impro04_F006,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,Ses01F_impro04_F005,Ses01F_impro04_M007,46.2735 - 49.8300,neu,you know what?  I heard about that job.  I applied for that.
Ses01F_impro04_F007,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F007.wav,Ses01F_impro04_M007,Ses01F_impro04_M008,50.1100 - 54.3100,fru,Yeah.  I saw a posting at the theatre.
Ses01F_impro04_F008,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F008.wav,Ses01F_impro04_M008,Ses01F_impro04_M009,54.3700 - 55.6700,xxx,He got it?
Ses01F_impro04_F009,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,Ses01F_impro04_M009,Ses01F_impro04_M010,58.7100 - 60.0937,neu,Yeah.
Ses01F_impro04_F010,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F010.wav,Ses01F_impro04_M010,Ses01F_impro04_M011,60.6771 - 66.5275,xxx,What did he do?  What was so great?  I don't understand why they would pick him over me.
Ses01F_impro04_F011,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F011.wav,Ses01F_impro04_M011,Ses01F_impro04_M012,69.4300 - 70.9400,xxx,A resume?
Ses01F_impro04_F012,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F012.wav,Ses01F_impro04_M012,Ses01F_impro04_M013,72.1300 - 74.7300,xxx,No.
Ses01F_impro04_F013,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,Ses01F_impro04_M013,Ses01F_impro04_M014,76.4900 - 80.7269,neu,I just- I mean I call people up and I tell them what I'm good at.
Ses01F_impro04_F014,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,Ses01F_impro04_M014,Ses01F_impro04_F015,85.4900 - 86.9800,neu,Yeah.
Ses01F_impro04_F015,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F015.wav,Ses01F_impro04_F014,Ses01F_impro04_M015,87.2203 - 93.3300,xxx,I don't like- I don't like sending things in the mail.  I don't want my information out there.
Ses01F_impro04_F016,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F016.wav,Ses01F_impro04_M015,Ses01F_impro04_M016,97.4100 - 101.0475,fru,I'm there in front of them.  I'm telling them what I'm good at.
Ses01F_impro04_F017,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F017.wav,Ses01F_impro04_M016,Ses01F_impro04_M017,102.7800 - 105.4150,fru,Why?  It's a piece of paper.
Ses01F_impro04_F018,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F018.wav,Ses01F_impro04_M017,Ses01F_impro04_M018,106.1700 - 111.8600,fru,"I just don't want this paper trail, you know.  I just don't want things following me around, like-."
Ses01F_impro04_F019,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F019.wav,Ses01F_impro04_M018,Ses01F_impro04_M019,114.9200 - 122.3100,fru,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but..."
Ses01F_impro04_F020,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F020.wav,Ses01F_impro04_M020,Ses01F_impro04_M021,122.4000 - 129.9300,xxx,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.
Ses01F_impro04_F021,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F021.wav,Ses01F_impro04_M021,Ses01F_impro04_F022,133.7400 - 137.4400,fru,"That's baloney, that's baloney."
Ses01F_impro04_F022,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F022.wav,Ses01F_impro04_F021,Ses01F_impro04_M022,138.1300 - 139.8900,fru,Please.
Ses01F_impro04_F023,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F023.wav,Ses01F_impro04_M023,Ses01F_impro04_M024,148.5500 - 152.8500,fru,you think that you're better than me because I don't have a car?
Ses01F_impro04_F024,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F024.wav,Ses01F_impro04_M024,Ses01F_impro04_M025,153.1800 - 155.2925,fru,"You know, you're riding the bus, too."
Ses01F_impro04_F025,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F025.wav,Ses01F_impro04_M025,Ses01F_impro04_M026,157.1625 - 159.7000,fru,Why?  What choice?
Ses01F_impro04_F026,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F026.wav,Ses01F_impro04_M026,Ses01F_impro04_M027,161.0787 - 163.7800,fru,You're saving the environment. mmhmm
Ses01F_impro04_F027,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F027.wav,Ses01F_impro04_M027,Ses01F_impro04_M028,164.3925 - 167.5650,fru,Interesting.  That's fantastic.
Ses01F_impro04_F028,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,Ses01F_impro04_M029,Ses01F_impro04_M030,170.8300 - 172.8400,ang,I'm not frustrated.
Ses01F_impro04_F029,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,Ses01F_impro04_M030,Ses01F_impro04_M031,175.2700 - 178.4300,ang,Who do you think you are?
Ses01F_impro04_F030,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,Ses01F_impro04_M031,Ses01F_impro04_M032,180.3025 - 183.4875,ang,You are so high and mighty.  I just--
Ses01F_impro04_F031,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,Ses01F_impro04_M032,Ses01F_impro04_M033,184.4700 - 188.8700,ang,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
Ses01F_impro04_F032,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,Ses01F_impro04_M034,Ses01F_impro04_M035,189.1200 - 192.0200,ang,"The bus, I'm riding the bus because I want to."
Ses01F_impro04_F033,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,Ses01F_impro04_M035,Ses01F_impro04_M036,193.5875 - 199.4325,ang,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
Ses01F_impro04_M000,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,,Ses01F_impro04_F000,2.7418 - 6.6575,neu,"Have you tried, uh, Craig's List?"
Ses01F_impro04_M001,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,Ses01F_impro04_F000,Ses01F_impro04_F001,10.4600 - 12.1300,neu,Yeah.
Ses01F_impro04_M002,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,Ses01F_impro04_F001,Ses01F_impro04_F002,15.6400 - 18.9000,neu,No.  There's regular jobs on there.
